cycle,state,pollster,samplesize,candidate_name,Candidateidentifier,daysLeft,numberSupport,Democrat,Republican,Percentage.of.Vote.won.x,pvi,experienced
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-5,266.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-5,252.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-5,271.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-5,277.0,0,1,51.4,-6.881433406,1.0
2018,Florida,Marist College,595,Bill Nelson,2018FLNelson,-5,297.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Marist College,595,Rick Scott,2018FLScott,-5,273.0,0,1,50.1,-1.790610365,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-5,247.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-5,209.0,0,1,46.8,-8.652566712,1.0
2018,Florida,Gravis Marketing,753,Bill Nelson,2018FLNelson,-5,376.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Gravis Marketing,753,Rick Scott,2018FLScott,-5,353.0,0,1,50.1,-1.790610365,1.0
2018,Arizona,Gravis Marketing,1165,Kyrsten Sinema,2018AZSinema,-5,535.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Gravis Marketing,1165,Martha McSally,2018AZMcSally,-5,547.0,0,1,47.6,-4.106799945,1.0
2018,New Mexico,Carroll Strategies,1202,Martin Heinrich,2018NMHeinrich,-6,609.0,1,0,54.1,2.403798731,1.0
2018,New Mexico,Carroll Strategies,1202,Mick Rich,2018NMRich,-6,455.0,0,1,30.5,2.403798731,0.0
2018,New Mexico,Carroll Strategies,1202,Gary Johnson,2018NMJohnson,-6,100.0,0,0,15.4,2.403798731,1.0
2018,Connecticut,Gravis Marketing,681,Christopher Murphy,2018CTMurphy,-6,394.0,1,0,59.5,4.933092737,1.0
2018,Connecticut,Gravis Marketing,681,Matthew Corey,2018CTCorey,-6,238.0,0,1,39.4,4.933092737,0.0
2018,Vermont,Gravis Marketing,885,Lawrence Zupan,2018VTZupan,-6,265.0,0,1,27.5,11.29981845,0.0
2018,Vermont,Gravis Marketing,885,Bernard Sanders,2018VTSanders,-6,584.0,1,0,67.4,11.29981845,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-6,250.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-6,290.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-6,267.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-6,297.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-6,259.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-6,276.0,0,1,45.4,0.039999588,1.0
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-6,256.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-6,258.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-6,274.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-6,259.0,0,1,51.4,-6.881433406,1.0
2018,Arizona,Trafalgar Group,2166,Kyrsten Sinema,2018AZSinema,-6,1078.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Trafalgar Group,2166,Martha McSally,2018AZMcSally,-6,1020.0,0,1,47.6,-4.106799945,1.0
2018,Missouri,Marist College,600,Claire McCaskill,2018MOMcCaskill,-6,300.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Marist College,600,Josh Hawley,2018MOHawley,-6,282.0,0,1,51.4,-6.881433406,1.0
2018,Missouri,Marist College,600,Claire McCaskill,2018MOMcCaskill,-6,282.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Marist College,600,Josh Hawley,2018MOHawley,-6,264.0,0,1,51.4,-6.881433406,1.0
2018,Nevada,Trafalgar Group,2587,Jacky Rosen,2018NVRosen,-6,1179.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Trafalgar Group,2587,Dean Heller,2018NVHeller,-6,1265.0,0,1,45.4,0.039999588,1.0
2018,Pennsylvania,Muhlenberg College,421,Robert P. Casey Jr.,2018PACasey,-6,227.0,1,0,55.7,0.390350973,1.0
2018,Pennsylvania,Muhlenberg College,421,Lou Barletta,2018PABarletta,-6,168.0,0,1,42.6,0.390350973,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-6,244.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-6,211.0,0,1,46.8,-8.652566712,1.0
2018,New York,Siena College,641,Kirsten E. Gillibrand,2018NYGillibrand,-6,371.0,1,0,67.0,9.796951795,1.0
2018,New York,Siena College,641,Chele Farley,2018NYFarley,-6,224.0,0,1,33.0,9.796951795,0.0
2018,New Mexico,Research & Polling Inc.,993,Martin Heinrich,2018NMHeinrich,-6,506.0,1,0,54.1,2.403798731,1.0
2018,New Mexico,Research & Polling Inc.,993,Mick Rich,2018NMRich,-6,307.0,0,1,30.5,2.403798731,0.0
2018,New Mexico,Research & Polling Inc.,993,Gary Johnson,2018NMJohnson,-6,119.0,0,0,15.4,2.403798731,1.0
2018,Florida,St. Pete Polls,2470,Bill Nelson,2018FLNelson,-7,1217.0,1,0,49.9,-1.790610365,1.0
2018,Florida,St. Pete Polls,2470,Rick Scott,2018FLScott,-7,1170.0,0,1,50.1,-1.790610365,1.0
2018,Ohio,Cygnal,503,Sherrod Brown,2018OHBrown,-7,263.0,1,0,53.4,-4.171365879,1.0
2018,Ohio,Cygnal,503,Jim Renacci,2018OHRenacci,-7,211.0,0,1,46.6,-4.171365879,1.0
2018,Arizona,Harris Insights & Analytics,600,Kyrsten Sinema,2018AZSinema,-7,249.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Harris Insights & Analytics,600,Martha McSally,2018AZMcSally,-7,291.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Harris Insights & Analytics,600,Bill Nelson,2018FLNelson,-7,270.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Harris Insights & Analytics,600,Rick Scott,2018FLScott,-7,289.0,0,1,50.1,-1.790610365,1.0
2018,Nevada,Harris Insights & Analytics,600,Jacky Rosen,2018NVRosen,-7,270.0,1,0,50.4,0.039999588,1.0
2018,Nevada,Harris Insights & Analytics,600,Dean Heller,2018NVHeller,-7,269.0,0,1,45.4,0.039999588,1.0
2018,Minnesota,SurveyUSA,600,Amy Klobuchar,2018MNKlobuchar,-7,342.0,1,0,60.3,1.11430914,1.0
2018,Minnesota,SurveyUSA,600,Jim Newberger,2018MNNewberger,-7,204.0,0,1,36.2,1.11430914,1.0
2018,Indiana,Harris Insights & Analytics,600,Joe Donnelly,2018INDonnelly,-7,237.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Harris Insights & Analytics,600,Mike Braun,2018INBraun,-7,258.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Harris Insights & Analytics,600,Claire McCaskill,2018MOMcCaskill,-7,271.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Harris Insights & Analytics,600,Josh Hawley,2018MOHawley,-7,260.0,0,1,51.4,-6.881433406,1.0
2018,Wisconsin,Emerson College,604,Tammy Baldwin,2018WIBaldwin,-7,320.0,1,0,55.4,-1.482069759,1.0
2018,Wisconsin,Emerson College,604,Leah Vukmir,2018WIVukmir,-7,268.0,0,1,44.6,-1.482069759,1.0
2018,West Virginia,Emerson College,1013,"Joe Manchin, III",2018WVManchin,-7,479.0,1,0,49.6,-13.38955503,1.0
2018,West Virginia,Emerson College,1013,Patrick Morrisey,2018WVMorrisey,-7,420.0,0,1,46.3,-13.38955503,1.0
2018,Tennessee,Targoz Market Research,480,Phil Bredesen,2018TNBredesen,-7,235.0,1,0,43.9,-14.12184488,1.0
2018,Tennessee,Targoz Market Research,480,Marsha Blackburn,2018TNBlackburn,-7,235.0,0,1,54.7,-14.12184488,1.0
2018,Florida,Targoz Market Research,558,Bill Nelson,2018FLNelson,-7,251.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Targoz Market Research,558,Rick Scott,2018FLScott,-7,273.0,0,1,50.1,-1.790610365,1.0
2018,Montana,Harris Insights & Analytics,500,Jon Tester,2018MTTester,-7,242.0,1,0,50.3,-8.652566712,1.0
2018,Montana,Harris Insights & Analytics,500,Matt Rosendale,2018MTRosendale,-7,209.0,0,1,46.8,-8.652566712,1.0
2018,New Jersey,Stockton University,598,Robert Menendez,2018NJMenendez,-7,306.0,1,0,54.0,5.440680607000001,1.0
2018,New Jersey,Stockton University,598,Bob Hugin,2018NJHugin,-7,235.0,0,1,42.8,5.440680607000001,0.0
2018,Florida,MWR Strategies,1005,Bill Nelson,2018FLNelson,-7,407.0,1,0,49.9,-1.790610365,1.0
2018,Florida,MWR Strategies,1005,Rick Scott,2018FLScott,-7,430.0,0,1,50.1,-1.790610365,1.0
2018,Michigan,Gravis Marketing,764,Debbie Stabenow,2018MIStabenow,-8,412.0,1,0,52.3,0.110617903,1.0
2018,Michigan,Gravis Marketing,764,John James,2018MIJames,-8,313.0,0,1,45.8,0.110617903,0.0
2018,Florida,Trafalgar Group,2543,Bill Nelson,2018FLNelson,-8,1256.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Trafalgar Group,2543,Rick Scott,2018FLScott,-8,1200.0,0,1,50.1,-1.790610365,1.0
2018,Ohio,Gravis Marketing,789,Sherrod Brown,2018OHBrown,-8,362.0,1,0,53.4,-4.171365879,1.0
2018,Ohio,Gravis Marketing,789,Jim Renacci,2018OHRenacci,-8,291.0,0,1,46.6,-4.171365879,1.0
2018,Texas,Emerson College,781,Beto O'Rourke,2018TXO'Rourke,-8,368.0,1,0,48.3,-7.023984994,1.0
2018,Texas,Emerson College,781,Ted Cruz,2018TXCruz,-8,392.0,0,1,50.9,-7.023984994,1.0
2018,Tennessee,Emerson College,632,Phil Bredesen,2018TNBredesen,-8,275.0,1,0,43.9,-14.12184488,1.0
2018,Tennessee,Emerson College,632,Marsha Blackburn,2018TNBlackburn,-8,328.0,0,1,54.7,-14.12184488,1.0
2018,Tennessee,Fox News/Beacon Research/Shaw & Co. Research,718,Phil Bredesen,2018TNBredesen,-8,294.0,1,0,43.9,-14.12184488,1.0
2018,Tennessee,Fox News/Beacon Research/Shaw & Co. Research,718,Marsha Blackburn,2018TNBlackburn,-8,359.0,0,1,54.7,-14.12184488,1.0
2018,North Dakota,Fox News/Beacon Research/Shaw & Co. Research,789,Heidi Heitkamp,2018NDHeitkamp,-8,331.0,1,0,45.5,-15.10961444,1.0
2018,North Dakota,Fox News/Beacon Research/Shaw & Co. Research,789,Kevin Cramer,2018NDCramer,-8,402.0,0,1,55.5,-15.10961444,1.0
2018,Indiana,Fox News/Beacon Research/Shaw & Co. Research,722,Joe Donnelly,2018INDonnelly,-8,324.0,1,0,45.0,-8.112056678,1.0
2018,Indiana,Fox News/Beacon Research/Shaw & Co. Research,722,Mike Braun,2018INBraun,-8,274.0,0,1,50.9,-8.112056678,1.0
2018,Missouri,Fox News/Beacon Research/Shaw & Co. Research,741,Claire McCaskill,2018MOMcCaskill,-8,333.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Fox News/Beacon Research/Shaw & Co. Research,741,Josh Hawley,2018MOHawley,-8,333.0,0,1,51.4,-6.881433406,1.0
2018,Missouri,Fox News/Beacon Research/Shaw & Co. Research,741,Claire McCaskill,2018MOMcCaskill,-8,318.0,1,0,45.6,-6.881433406,1.0
2018,Missouri,Fox News/Beacon Research/Shaw & Co. Research,741,Josh Hawley,2018MOHawley,-8,318.0,0,1,51.4,-6.881433406,1.0
2018,Arizona,Vox Populi Polling,677,Kyrsten Sinema,2018AZSinema,-8,352.0,1,0,50.0,-4.106799945,1.0
2018,Arizona,Vox Populi Polling,677,Martha McSally,2018AZMcSally,-8,324.0,0,1,47.6,-4.106799945,1.0
2018,Florida,Vox Populi Polling,696,Bill Nelson,2018FLNelson,-8,348.0,1,0,49.9,-1.790610365,1.0
2018,Florida,Vox Populi Polling,696,Rick Scott,2018FLScott,-8,348.0,0,1,50.1,-1.790610365,1.0
2018,California,Probolsky Research,900,Dianne Feinstein,2018CAFeinstein,-8,368.0,1,0,54.2,10.76322564,1.0
2018,California,Probolsky Research,900,Kevin de León,2018CAde Leon,-8,316.0,1,0,45.8,10.76322564,1.0
2018,Arizona,Harris Insights & Analytics,1400,Kyrsten Sinema,2018AZSinema,-8,597.0,1,0,50.0,-4.106799945,1.0
